     ¹               x                    y
     1              15                18.75
     2             7.5             0.140625
     3            3.75             -13.3301
     4           5.625              -6.2146
     5          6.5625             -2.94443
     6         7.03125             -1.37907
     7         7.26563            -0.613554
     8         7.38281            -0.235052
     9         7.44141           -0.0468609
    10          7.4707            0.0469701
    11         7.45605          7.66263e-05
