     ¹               x                    y
     1               0                    0
     2             0.1                   -3
     3             0.2             -5.95112
     4             0.3             -8.85362
     5             0.4             -11.7077
     6             0.5             -14.5137
     7             0.6             -17.2719
     8             0.7             -19.9823
     9             0.8             -22.6454
    10             0.9             -25.2614
    11               1             -27.8304
    12             1.1             -30.3528
    13             1.2             -32.8288
    14             1.3             -35.2586
    15             1.4             -37.6425
    16             1.5             -39.9808
    17             1.6             -42.2736
    18             1.7             -44.5212
    19             1.8             -46.7238
    20             1.9             -48.8817
    21               2             -50.9951
    22             2.1             -53.0643
    23             2.2             -55.0895
    24             2.3              -57.071
    25             2.4             -59.0089
    26             2.5             -60.9035
    27             2.6             -62.7551
    28             2.7             -64.5638
    29             2.8               -66.33
    30             2.9             -68.0538
    31               3             -69.7355
    32             3.1             -71.3753
    33             3.2             -72.9734
    34             3.3             -74.5301
    35             3.4             -76.0457
    36             3.5             -77.5202
    37             3.6             -78.9541
    38             3.7             -80.3474
    39             3.8             -81.7005
    40             3.9             -83.0135
    41               4             -84.2867
    42             4.1             -85.5203
    43             4.2             -86.7145
    44             4.3             -87.8696
    45             4.4             -88.9858
    46             4.5             -90.0632
    47             4.6             -91.1023
    48             4.7              -92.103
    49             4.8             -93.0658
    50             4.9             -93.9907
    51               5             -94.8781
    52             5.1             -95.7281
    53             5.2             -96.5409
    54             5.3             -97.3169
    55             5.4             -98.0561
    56             5.5             -98.7589
    57             5.6             -99.4253
    58             5.7             -100.056
    59             5.8              -100.65
    60             5.9             -101.209
    61               6             -101.733
    62             6.1             -102.221
    63             6.2             -102.675
    64             6.3             -103.093
    65             6.4             -103.478
    66             6.5             -103.827
    67             6.6             -104.143
    68             6.7             -104.425
    69             6.8             -104.673
    70             6.9             -104.887
    71               7             -105.069
    72             7.1             -105.217
    73             7.2             -105.332
    74             7.3             -105.415
    75             7.4             -105.465
    76             7.5             -105.483
    77             7.6             -105.469
    78             7.7             -105.423
    79             7.8             -105.346
    80             7.9             -105.237
    81               8             -105.096
    82             8.1             -104.925
    83             8.2             -104.723
    84             8.3             -104.491
    85             8.4             -104.228
    86             8.5             -103.934
    87             8.6             -103.611
    88             8.7             -103.258
    89             8.8             -102.875
    90             8.9             -102.463
    91               9             -102.022
    92             9.1             -101.551
    93             9.2             -101.052
    94             9.3             -100.524
    95             9.4             -99.9678
    96             9.5             -99.3833
    97             9.6             -98.7706
    98             9.7             -98.1302
    99             9.8              -97.462
   100             9.9             -96.7664
   101              10             -96.0435
   102            10.1             -95.2935
   103            10.2             -94.5166
   104            10.3              -93.713
   105            10.4             -92.8828
   106            10.5             -92.0263
   107            10.6             -91.1437
   108            10.7             -90.2351
   109            10.8             -89.3007
   110            10.9             -88.3408
   111              11             -87.3554
   112            11.1             -86.3448
   113            11.2             -85.3091
   114            11.3             -84.2486
   115            11.4             -83.1635
   116            11.5             -82.0538
   117            11.6             -80.9199
   118            11.7             -79.7618
   119            11.8             -78.5797
   120            11.9             -77.3739
   121              12             -76.1445
   122            12.1             -74.8917
   123            12.2             -73.6157
   124            12.3             -72.3166
   125            12.4             -70.9947
   126            12.5               -69.65
   127            12.6             -68.2828
   128            12.7             -66.8933
   129            12.8             -65.4816
   130            12.9             -64.0478
   131              13             -62.5923
   132            13.1             -61.1151
   133            13.2             -59.6164
   134            13.3             -58.0964
   135            13.4             -56.5553
   136            13.5             -54.9932
   137            13.6             -53.4103
   138            13.7             -51.8067
   139            13.8             -50.1827
   140            13.9             -48.5384
   141              14              -46.874
   142            14.1             -45.1896
   143            14.2             -43.4854
   144            14.3             -41.7615
   145            14.4             -40.0182
   146            14.5             -38.2556
   147            14.6             -36.4739
   148            14.7             -34.6732
   149            14.8             -32.8537
   150            14.9             -31.0155
   151              15             -29.1588
   152            15.1             -27.2838
   153            15.2             -25.3906
   154            15.3             -23.4795
   155            15.4             -21.5504
   156            15.5             -19.6037
   157            15.6             -17.6394
   158            15.7             -15.6578
   159            15.8             -13.6589
   160            15.9              -11.643
   161              16             -9.61016
   162            16.1             -7.56056
   163            16.2             -5.49436
   164            16.3              -3.4117
   165            16.4             -1.31275
   166            16.5              0.80234
   167            16.6              2.93343
   168            16.7              5.08036
   169            16.8              7.24298
   170            16.9              9.42114
   171              17              11.6147
   172            17.1              13.8235
   173            17.2              16.0474
   174            17.3              18.2862
   175            17.4              20.5399
   176            17.5              22.8082
   177            17.6               25.091
   178            17.7              27.3882
   179            17.8              29.6996
   180            17.9              32.0251
   181              18              34.3645
   182            18.1              36.7177
   183            18.2              39.0845
   184            18.3              41.4649
   185            18.4              43.8586
   186            18.5              46.2655
   187            18.6              48.6856
   188            18.7              51.1186
   189            18.8              53.5644
   190            18.9              56.0228
   191              19              58.4938
   192            19.1              60.9772
   193            19.2              63.4729
   194            19.3              65.9807
   195            19.4              68.5005
   196            19.5              71.0321
   197            19.6              73.5755
   198            19.7              76.1304
   199            19.8              78.6968
   200            19.9              81.2746
   201              20              83.8635
   202            20.1              86.4635
   203            20.2              89.0744
   204            20.3              91.6962
   205            20.4              94.3286
   206            20.5              96.9716
   207            20.6              99.6249
   208            20.7              102.289
   209            20.8              104.962
   210            20.9              107.646
   211              21               110.34
   212            21.1              113.044
   213            21.2              115.757
   214            21.3               118.48
   215            21.4              121.212
   216            21.5              123.954
   217            21.6              126.704
   218            21.7              129.464
   219            21.8              132.233
   220            21.9               135.01
   221              22              137.797
   222            22.1              140.591
   223            22.2              143.395
   224            22.3              146.206
   225            22.4              149.026
   226            22.5              151.854
   227            22.6               154.69
   228            22.7              157.534
   229            22.8              160.385
   230            22.9              163.245
   231              23              166.111
   232            23.1              168.986
   233            23.2              171.867
   234            23.3              174.756
   235            23.4              177.652
   236            23.5              180.554
   237            23.6              183.464
   238            23.7               186.38
   239            23.8              189.304
   240            23.9              192.233
   241              24              195.169
   242            24.1              198.112
   243            24.2               201.06
   244            24.3              204.015
   245            24.4              206.976
   246            24.5              209.942
   247            24.6              212.915
   248            24.7              215.893
   249            24.8              218.877
   250            24.9              221.866
   251              25              224.861
   252            25.1              227.861
   253            25.2              230.866
   254            25.3              233.876
   255            25.4              236.892
   256            25.5              239.912
   257            25.6              242.937
   258            25.7              245.967
   259            25.8              249.001
   260            25.9               252.04
   261              26              255.083
   262            26.1              258.131
   263            26.2              261.183
   264            26.3              264.239
   265            26.4              267.299
   266            26.5              270.363
   267            26.6               273.43
   268            26.7              276.502
   269            26.8              279.577
   270            26.9              282.656
   271              27              285.739
   272            27.1              288.824
   273            27.2              291.913
   274            27.3              295.006
   275            27.4              298.101
   276            27.5                301.2
   277            27.6              304.301
   278            27.7              307.406
   279            27.8              310.513
   280            27.9              313.623
   281              28              316.736
   282            28.1              319.851
   283            28.2              322.969
   284            28.3              326.089
   285            28.4              329.211
   286            28.5              332.336
   287            28.6              335.463
   288            28.7              338.591
   289            28.8              341.722
   290            28.9              344.855
   291              29               347.99
   292            29.1              351.126
   293            29.2              354.264
   294            29.3              357.404
   295            29.4              360.545
   296            29.5              363.688
   297            29.6              366.832
   298            29.7              369.977
   299            29.8              373.124
   300            29.9              376.272
   301              30              379.421
