     ¹               x                    y
     1               0                    0
     2             0.1             -2.97556
     3             0.2             -5.90237
     4             0.3             -8.78069
     5             0.4             -11.6107
     6             0.5             -14.3928
     7             0.6             -17.1271
     8             0.7             -19.8139
     9             0.8             -22.4534
    10             0.9             -25.0459
    11               1             -27.5916
    12             1.1             -30.0908
    13             1.2             -32.5437
    14             1.3             -34.9506
    15             1.4             -37.3117
    16             1.5             -39.6272
    17             1.6             -41.8974
    18             1.7             -44.1225
    19             1.8             -46.3027
    20             1.9             -48.4384
    21               2             -50.5297
    22             2.1             -52.5769
    23             2.2             -54.5803
    24             2.3             -56.5399
    25             2.4             -58.4562
    26             2.5             -60.3293
    27             2.6             -62.1594
    28             2.7             -63.9469
    29             2.8             -65.6919
    30             2.9             -67.3946
    31               3             -69.0554
    32             3.1             -70.6743
    33             3.2             -72.2518
    34             3.3             -73.7879
    35             3.4             -75.2829
    36             3.5             -76.7371
    37             3.6             -78.1507
    38             3.7             -79.5239
    39             3.8              -80.857
    40             3.9             -82.1501
    41               4             -83.4035
    42             4.1             -84.6174
    43             4.2              -85.792
    44             4.3             -86.9277
    45             4.4             -88.0245
    46             4.5             -89.0827
    47             4.6             -90.1026
    48             4.7             -91.0844
    49             4.8             -92.0282
    50             4.9             -92.9344
    51               5             -93.8031
    52             5.1             -94.6345
    53             5.2             -95.4289
    54             5.3             -96.1865
    55             5.4             -96.9075
    56             5.5             -97.5921
    57             5.6             -98.2406
    58             5.7             -98.8531
    59             5.8             -99.4299
    60             5.9             -99.9712
    61               6             -100.477
    62             6.1             -100.948
    63             6.2             -101.384
    64             6.3             -101.786
    65             6.4             -102.152
    66             6.5             -102.485
    67             6.6             -102.784
    68             6.7             -103.049
    69             6.8              -103.28
    70             6.9             -103.478
    71               7             -103.643
    72             7.1             -103.775
    73             7.2             -103.874
    74             7.3              -103.94
    75             7.4             -103.974
    76             7.5             -103.976
    77             7.6             -103.946
    78             7.7             -103.884
    79             7.8             -103.791
    80             7.9             -103.667
    81               8             -103.511
    82             8.1             -103.324
    83             8.2             -103.107
    84             8.3             -102.859
    85             8.4             -102.581
    86             8.5             -102.273
    87             8.6             -101.934
    88             8.7             -101.567
    89             8.8             -101.169
    90             8.9             -100.742
    91               9             -100.286
    92             9.1             -99.8016
    93             9.2             -99.2881
    94             9.3              -98.746
    95             9.4             -98.1755
    96             9.5             -97.5769
    97             9.6             -96.9504
    98             9.7             -96.2961
    99             9.8             -95.6142
   100             9.9              -94.905
   101              10             -94.1685
   102            10.1              -93.405
   103            10.2             -92.6148
   104            10.3             -91.7979
   105            10.4             -90.9546
   106            10.5              -90.085
   107            10.6             -89.1894
   108            10.7             -88.2679
   109            10.8             -87.3207
   110            10.9             -86.3481
   111              11             -85.3501
   112            11.1              -84.327
   113            11.2             -83.2789
   114            11.3             -82.2061
   115            11.4             -81.1086
   116            11.5             -79.9868
   117            11.6             -78.8408
   118            11.7             -77.6708
   119            11.8             -76.4768
   120            11.9             -75.2592
   121              12             -74.0181
   122            12.1             -72.7537
   123            12.2             -71.4662
   124            12.3             -70.1556
   125            12.4             -68.8223
   126            12.5             -67.4664
   127            12.6              -66.088
   128            12.7             -64.6874
   129            12.8             -63.2647
   130            12.9             -61.8201
   131              13             -60.3537
   132            13.1             -58.8658
   133            13.2             -57.3564
   134            13.3             -55.8259
   135            13.4             -54.2742
   136            13.5             -52.7017
   137            13.6             -51.1085
   138            13.7             -49.4947
   139            13.8             -47.8606
   140            13.9             -46.2062
   141              14             -44.5318
   142            14.1             -42.8375
