     ¹               x                    y
     1               0                    0
     2             0.1             -2.97554
     3             0.2             -5.90233
     4             0.3             -8.78062
     5             0.4             -11.6107
     6             0.5             -14.3927
     7             0.6              -17.127
     8             0.7             -19.8137
     9             0.8             -22.4532
    10             0.9             -25.0457
    11               1             -27.5914
    12             1.1             -30.0906
    13             1.2             -32.5435
    14             1.3             -34.9503
    15             1.4             -37.3114
    16             1.5             -39.6269
    17             1.6              -41.897
    18             1.7             -44.1221
    19             1.8             -46.3024
    20             1.9              -48.438
    21               2             -50.5293
    22             2.1             -52.5765
    23             2.2             -54.5798
    24             2.3             -56.5395
    25             2.4             -58.4557
    26             2.5             -60.3288
    27             2.6             -62.1589
    28             2.7             -63.9463
    29             2.8             -65.6913
    30             2.9              -67.394
    31               3             -69.0548
    32             3.1             -70.6737
    33             3.2             -72.2511
    34             3.3             -73.7872
    35             3.4             -75.2823
    36             3.5             -76.7364
    37             3.6               -78.15
    38             3.7             -79.5232
    39             3.8             -80.8562
    40             3.9             -82.1493
    41               4             -83.4027
    42             4.1             -84.6166
    43             4.2             -85.7912
    44             4.3             -86.9268
    45             4.4             -88.0236
    46             4.5             -89.0819
    47             4.6             -90.1017
    48             4.7             -91.0835
    49             4.8             -92.0273
    50             4.9             -92.9334
    51               5             -93.8021
    52             5.1             -94.6335
    53             5.2             -95.4279
    54             5.3             -96.1854
    55             5.4             -96.9064
    56             5.5              -97.591
    57             5.6             -98.2395
    58             5.7              -98.852
    59             5.8             -99.4288
    60             5.9               -99.97
    61               6             -100.476
    62             6.1             -100.947
    63             6.2             -101.383
    64             6.3             -101.784
    65             6.4             -102.151
    66             6.5             -102.484
    67             6.6             -102.783
    68             6.7             -103.048
    69             6.8             -103.279
    70             6.9             -103.477
    71               7             -103.641
    72             7.1             -103.773
    73             7.2             -103.872
    74             7.3             -103.939
    75             7.4             -103.973
    76             7.5             -103.975
    77             7.6             -103.945
    78             7.7             -103.883
    79             7.8              -103.79
    80             7.9             -103.665
    81               8             -103.509
    82             8.1             -103.323
    83             8.2             -103.105
    84             8.3             -102.858
    85             8.4             -102.579
    86             8.5             -102.271
    87             8.6             -101.933
    88             8.7             -101.565
    89             8.8             -101.167
    90             8.9             -100.741
    91               9             -100.285
    92             9.1             -99.7999
    93             9.2             -99.2864
    94             9.3             -98.7442
    95             9.4             -98.1738
    96             9.5             -97.5752
    97             9.6             -96.9486
    98             9.7             -96.2943
    99             9.8             -95.6124
   100             9.9             -94.9031
   101              10             -94.1667
   102            10.1             -93.4032
   103            10.2             -92.6129
   104            10.3              -91.796
   105            10.4             -90.9527
   106            10.5             -90.0831
   107            10.6             -89.1875
   108            10.7              -88.266
   109            10.8             -87.3188
   110            10.9             -86.3461
   111              11             -85.3481
   112            11.1             -84.3249
   113            11.2             -83.2769
   114            11.3              -82.204
   115            11.4             -81.1066
   116            11.5             -79.9848
   117            11.6             -78.8387
   118            11.7             -77.6687
   119            11.8             -76.4747
   120            11.9             -75.2571
   121              12              -74.016
   122            12.1             -72.7516
   123            12.2              -71.464
   124            12.3             -70.1535
   125            12.4             -68.8201
   126            12.5             -67.4642
   127            12.6             -66.0858
   128            12.7             -64.6852
   129            12.8             -63.2624
   130            12.9             -61.8178
   131              13             -60.3514
   132            13.1             -58.8635
   133            13.2             -57.3541
   134            13.3             -55.8235
   135            13.4             -54.2719
   136            13.5             -52.6994
   137            13.6             -51.1061
   138            13.7             -49.4923
   139            13.8             -47.8582
   140            13.9             -46.2038
   141              14             -44.5293
   142            14.1              -42.835
   143            14.2              -41.121
   144            14.3             -39.3874
   145            14.4             -37.6345
   146            14.5             -35.8623
   147            14.6              -34.071
   148            14.7             -32.2609
   149            14.8              -30.432
   150            14.9             -28.5846
   151              15             -26.7188
   152            15.1             -24.8347
   153            15.2             -22.9325
   154            15.3             -21.0123
   155            15.4             -19.0745
   156            15.5             -17.1189
   157            15.6              -15.146
   158            15.7             -13.1557
   159            15.8             -11.1483
   160            15.9              -9.1239
   161              16             -7.08267
   162            16.1             -5.02475
   163            16.2             -2.95031
   164            16.3            -0.859498
   165            16.4              1.24754
   166            16.5              3.37064
   167            16.6              5.50966
   168            16.7              7.66445
   169            16.8              9.83485
   170            16.9              12.0207
   171              17              14.2219
   172            17.1              16.4383
   173            17.2              18.6697
   174            17.3              20.9159
   175            17.4              23.1769
   176            17.5              25.4525
   177            17.6              27.7425
   178            17.7              30.0468
   179            17.8              32.3652
   180            17.9              34.6977
   181              18               37.044
   182            18.1               39.404
   183            18.2              41.7777
   184            18.3              44.1647
   185            18.4              46.5651
   186            18.5              48.9786
   187            18.6              51.4051
   188            18.7              53.8445
   189            18.8              56.2966
   190            18.9              58.7614
   191              19              61.2386
   192            19.1              63.7281
   193            19.2              66.2299
   194            19.3              68.7437
   195            19.4              71.2694
   196            19.5              73.8069
   197            19.6              76.3561
   198            19.7              78.9168
   199            19.8              81.4888
   200            19.9              84.0722
   201              20              86.6667
   202            20.1              89.2721
   203            20.2              91.8885
   204            20.3              94.5156
   205            20.4              97.1533
   206            20.5              99.8015
   207            20.6               102.46
   208            20.7              105.129
   209            20.8              107.808
   210            20.9              110.497
   211              21              113.195
   212            21.1              115.904
   213            21.2              118.622
   214            21.3              121.349
   215            21.4              124.086
   216            21.5              126.832
   217            21.6              129.588
   218            21.7              132.352
   219            21.8              135.125
   220            21.9              137.907
   221              22              140.697
   222            22.1              143.496
   223            22.2              146.304
   224            22.3               149.12
   225            22.4              151.943
   226            22.5              154.775
   227            22.6              157.615
   228            22.7              160.463
   229            22.8              163.318
   230            22.9              166.181
   231              23              169.052
   232            23.1               171.93
   233            23.2              174.815
   234            23.3              177.707
   235            23.4              180.606
   236            23.5              183.513
   237            23.6              186.426
   238            23.7              189.346
   239            23.8              192.272
   240            23.9              195.205
   241              24              198.144
   242            24.1               201.09
   243            24.2              204.041
   244            24.3              206.999
   245            24.4              209.963
   246            24.5              212.932
   247            24.6              215.908
   248            24.7              218.889
   249            24.8              221.875
   250            24.9              224.867
   251              25              227.865
   252            25.1              230.867
   253            25.2              233.875
   254            25.3              236.888
   255            25.4              239.906
   256            25.5              242.928
   257            25.6              245.956
   258            25.7              248.988
   259            25.8              252.024
   260            25.9              255.065
   261              26              258.111
   262            26.1               261.16
   263            26.2              264.214
   264            26.3              267.272
   265            26.4              270.334
   266            26.5                273.4
   267            26.6               276.47
   268            26.7              279.543
   269            26.8              282.621
   270            26.9              285.701
   271              27              288.785
   272            27.1              291.873
   273            27.2              294.963
   274            27.3              298.057
   275            27.4              301.154
   276            27.5              304.255
   277            27.6              307.358
   278            27.7              310.463
   279            27.8              313.572
   280            27.9              316.683
   281              28              319.797
   282            28.1              322.914
   283            28.2              326.033
   284            28.3              329.154
   285            28.4              332.277
   286            28.5              335.403
   287            28.6              338.531
   288            28.7              341.661
   289            28.8              344.793
   290            28.9              347.926
   291              29              351.062
   292            29.1              354.199
   293            29.2              357.338
   294            29.3              360.479
   295            29.4              363.621
   296            29.5              366.764
   297            29.6              369.909
   298            29.7              373.055
   299            29.8              376.202
   300            29.9              379.351
   301              30                382.5
